Mouse,Slide,Slice,X(px),Y(px),Degrees
jh302,3,1,0,0,0
jh302,3,2,-985,129,-0.76
jh302,3,3,-683,-213,-0.88
jh302,3,4,159,-33,-2.93
jh302,3,5,-651,0,1.51
jh302,3,6,-651,-588,-3.94
jh302,3,7,-885,-215,-4.29
jh302,3,8,-1503,-904,-11
jh302,3,9,-1514,-126,-3.04
jh302,3,10,-215,-444,-4.13
jh302,3,11,-1242,430,-4.91
jh302,2,1,710,-176,-2.3
jh302,2,2,430,-245,-1.86
jh302,2,3,-372,67,-3.89
jh302,2,4,-71,-273,0.88
jh302,2,5,355,-429,-3.17
jh302,2,6,164,-331,-4.58
jh302,2,7,-592,-691,2.36
jh302,2,8,259,-62,0.28
